Filename: /Users/nkrell/Box Sync/Kenya/rem-sense/S1A_IW_GRDH_1SDV_20170126T154808_20170126T154833_015004_018819_7091_Cal_TC.data/Sigma0_VV_TC_db												
ROI: mrc_ranch_house [Red] 195 points												
Basic Stats	       Min	     Max	     Mean	   Stdev								
     Band 1	-20.208261	6.025762	-8.866403	5.289712				ROI	Min	Max	Mean	Stdev
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct			mrc_ranch_house	-20.208261	6.025762	-8.866403	5.289712
           	-17.184454	0	9	0	9.375							
           	-17.135261	0	9	0	9.375							
           	-17.086068	0	9	0	9.375							
           	-17.036875	0	9	0	9.375							
           	-16.987682	1	10	1.0417	10.4167							
           	-16.938488	0	10	0	10.4167							
           	-16.889295	0	10	0	10.4167							
           	-16.840102	0	10	0	10.4167							
           	-16.790909	0	10	0	10.4167							
           	-16.741716	0	10	0	10.4167							
           	-16.692522	0	10	0	10.4167							
           	-16.643329	0	10	0	10.4167							
           	-16.594136	1	11	1.0417	11.4583							
           	-16.544943	0	11	0	11.4583							
           	-16.49575	0	11	0	11.4583							
           	-16.446556	1	12	1.0417	12.5							
           	-16.397363	1	13	1.0417	13.5417							
           	-16.34817	0	13	0	13.5417							
           	-16.298977	0	13	0	13.5417							
           	-16.249784	0	13	0	13.5417							
           	-16.20059	0	13	0	13.5417							
           	-16.151397	0	13	0	13.5417							
           	-16.102204	0	13	0	13.5417							
           	-16.053011	1	14	1.0417	14.5833							
           	-16.003818	0	14	0	14.5833							
           	-15.954624	1	15	1.0417	15.625							
           	-15.905431	0	15	0	15.625							
           	-15.856238	1	16	1.0417	16.6667							
           	-15.807045	1	17	1.0417	17.7083							
           	-15.757852	0	17	0	17.7083							
           	-15.708658	0	17	0	17.7083							
           	-15.659465	0	17	0	17.7083							
           	-15.610272	0	17	0	17.7083							
           	-15.561079	1	18	1.0417	18.75							
           	-15.511886	0	18	0	18.75							
           	-15.462692	0	18	0	18.75							
           	-15.413499	0	18	0	18.75							
           	-15.364306	1	19	1.0417	19.7917							
           	-15.315113	0	19	0	19.7917							
           	-15.26592	0	19	0	19.7917							
           	-15.216726	0	19	0	19.7917							
           	-15.167533	1	20	1.0417	20.8333							
           	-15.11834	1	21	1.0417	21.875							
           	-15.069147	0	21	0	21.875							
           	-15.019954	0	21	0	21.875							
           	-14.97076	1	22	1.0417	22.9167							
           	-14.921567	2	24	2.0833	25							
           	-14.872374	2	26	2.0833	27.0833							
           	-14.823181	0	26	0	27.0833							
           	-14.773988	0	26	0	27.0833							
